Tanggal,Tn,Tx,Tavg,kelembaban,curah_hujan,matahari,kecepatan_angin,kecepatan_angin,,
01-01-2015,22,30,27.5,75,0,1,2,50,,
02-01-2015,24,32.2,27.5,75,0,1,2,50,, 
03-01-2015,23,32,27.5,75,0,7.5,2,50,,
04-01-2015,23,35,27.3,89,0,1,2,56,,
07-01-2015,23,30.2,27.5,75,0.9,4.5,3,304,,
08-01-2015,23,31.2,26.9,86,2.8,1,2,55,,
09-01-2015,22,35,27.5,75,0,2.5,1,305,,
10-01-2015,23,30.8,27.2,82,0,1,2,60,,
11-01-2015,22,35,27.5,75,0.2,4.2,2,307,,
12-01-2015,22,30,26.1,85,13.1,1,2,34,,
13-01-2015,23,30.2,27.5,75,1.8,1,2,264,,
14-01-2015,23,35,27.5,75,0,1,2,58,,
15-01-2015,23,31.8,27.5,75,0.6,7,2,50,,
16-01-2015,23,31.8,27.5,75,0,1,1,56,,
17-01-2015,24,35,27.5,75,0.6,3.5,2,50,,
18-01-2015,23,35,27.5,75,1.8,1.1,4,50,,
19-01-2015,22,31.8,27.5,75,0,8.5,2,303,,
20-01-2015,22,31,26.7,88,0,1,2,56,,
21-01-2015,22,31.2,27.5,75,0,3.5,1,317,,
22-01-2015,22,35,27.5,75,0,1,2,58,,
23-01-2015,22,31,27.5,75,3,1.5,2,168,,
24-01-2015,22,30.4,27.5,75,0,1,1,56,,
27-01-2015,23,35,27.5,75,0,1,2,311,,
28-01-2015,23,31.9,25.8,90,0,1,3,45,,
29-01-2015,22,35,27.5,75,0,3.5,2,102,,
31-01-2015,22,30.6,27.5,75,1,8,2,176,,
01-02-2015,20,30.7,25.3,91,48.5,1,5,59,,
02-02-2015,21,35,27.5,75,11.5,1,2,169,,
03-02-2015,21,29.8,25.6,91,9.7,1,2,44,,
04-02-2015,22,31,27.5,75,0,6.5,3,155,,
05-02-2015,23,27.2,24.4,92,0,1,4,41,,
06-02-2015,21,30,27.5,75,4.3,1,3,42,,
07-02-2015,22,30.3,27.5,75,2,8,3,70,,
08-02-2015,22,30.2,27.5,75,2,8,3,39,,
09-02-2015,23,31.2,26.2,92,0.8,3.9,3,30,,
10-02-2015,22,31,27.5,75,7.2,3.5,2,295,,
11-02-2015,21,31,25.6,87,18.3,4.3,2,63,,
12-02-2015,22,23.4,27.5,75,8.9,3.3,2,291,,
14-02-2015,22,35,27.5,75,0,4.5,4,34,,
15-02-2015,22,35,27.5,75,0,5.9,2,36,,
16-02-2015,22,31.4,27.5,75,0,8,3,52,,
17-02-2015,23,31.4,27.5,75,0,1,3,31,,
18-02-2015,23,35,27.5,75,0,9,2,54,,
21-02-2015,22,27.2,27.5,75,0,1,1,325,,
22-02-2015,21,35,27.5,75,29.8,1,1,91,,
23-02-2015,22,29.2,27.5,75,0,6.9,2,50,,
26-02-2015,23,35,27.5,75,0,3,1,43,,
27-02-2015,22,35,27.5,75,2.6,4.5,3,158,,
28-02-2015,21,35,27.5,75,18.2,2.5,2,36,,
01-03-2015,22,31.6,27.5,75,6.2,1,1,195,,
02-03-2015,22,35,26,88,29.8,1,3,40,,
03-03-2015,22,35,27.5,75,0,9.3,2,305,,
05-03-2015,21,35,25.6,92,0,1,2,51,,
07-03-2015,21,29.9,27.5,75,33.7,1,3,38,,
08-03-2015,21,29.6,27.5,75,0,5,2,29,,
09-03-2015,22,31,27.5,75,3.6,2.7,3,60,,
10-03-2015,22,29.6,27.5,75,0,1,2,54,,
13-03-2015,22,29.2,27.5,75,0,1,3,26,,
18-03-2015,22,35,27.5,75,0,7.8,1,43,,
20-03-2015,21,35,27.5,75,0,1,5,25,,
23-03-2015,23,35,27.5,75,0,3,2,50,,
27-03-2015,22,33,27.5,75,0,2.8,2,50,,
29-03-2015,23,35,27.5,75,0,1,3,62,,
02-04-2015,23,35,27.5,75,0,3,1,39,,
